epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,9022.92,0.68421,1.04753,1.11299,0.90319,0.85063,0.91419,0.82055,0.50536,0.5616,0.98595,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,9151.06,0.69773,1.05992,1.12058,0.9011,0.85391,0.91379,0.81868,0.50256,0.56326,0.9839,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,9285.24,0.68452,1.03756,1.11258,0.90274,0.84734,0.91247,0.81952,0.49877,0.55861,0.98128,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,9414.75,0.68425,1.03419,1.11002,0.89068,0.85913,0.91289,0.82086,0.49447,0.55827,0.97845,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,9541.19,0.68959,1.02444,1.11269,0.896,0.85624,0.91431,0.82265,0.49844,0.55646,0.98186,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,9679.85,0.68669,1.03086,1.11513,0.88817,0.86923,0.91482,0.82443,0.49148,0.55349,0.9752,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,9815.87,0.68273,1.02221,1.11221,0.88604,0.87189,0.91561,0.82756,0.48977,0.55004,0.97223,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,9937.34,0.66752,0.99926,1.09996,0.88845,0.87482,0.91687,0.82778,0.48678,0.54708,0.97097,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,10059.3,0.6762,1.00645,1.10062,0.90787,0.85901,0.91841,0.82875,0.48336,0.5446,0.96663,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,10191.4,0.67164,0.99501,1.10471,0.89904,0.86202,0.91879,0.83074,0.48339,0.5409,0.96509,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,10334.9,0.67194,0.9899,1.10725,0.91291,0.84977,0.91796,0.83008,0.48417,0.54049,0.96615,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,10476.7,0.66593,0.98414,1.09909,0.91154,0.85196,0.91872,0.83061,0.48382,0.5401,0.96579,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,10610,0.66661,0.97441,1.0975,0.90942,0.85744,0.91997,0.8323,0.48287,0.53687,0.9652,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,10756.5,0.66483,0.98067,1.10037,0.89311,0.87641,0.92217,0.83441,0.48243,0.53318,0.96413,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,10893.8,0.65847,0.95436,1.09155,0.90508,0.86998,0.92264,0.83647,0.48024,0.5319,0.96124,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,11034.6,0.65398,0.94771,1.09109,0.89775,0.87716,0.9242,0.83874,0.47674,0.52759,0.95815,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,11173.2,0.65028,0.9395,1.0883,0.90529,0.87806,0.92537,0.8397,0.47527,0.5256,0.9567,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,11305.2,0.64999,0.94864,1.09222,0.90636,0.8769,0.92561,0.83962,0.47443,0.52435,0.95615,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,11445.9,0.64544,0.93223,1.08613,0.90644,0.87978,0.92627,0.84054,0.47407,0.52268,0.95618,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,11572.5,0.64743,0.93087,1.08844,0.91055,0.87825,0.92556,0.8406,0.4726,0.5215,0.95489,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,11701.4,0.65052,0.92936,1.08845,0.90822,0.87926,0.92508,0.84168,0.47063,0.51993,0.9532,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,11832,0.64636,0.91776,1.08924,0.90688,0.88602,0.92659,0.84182,0.47013,0.51734,0.95266,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
