epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,23624.1,0.48857,0.61944,1.02535,0.94931,0.90363,0.95352,0.90098,0.34365,0.3648,0.90113,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,23901.1,0.48892,0.62214,1.027,0.9445,0.90799,0.95418,0.90219,0.34177,0.36041,0.8985,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,24176.4,0.4856,0.60949,1.0243,0.94506,0.90512,0.95412,0.90226,0.34085,0.36136,0.89794,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,24452.7,0.48549,0.6071,1.0274,0.93891,0.91506,0.95544,0.90296,0.33966,0.36003,0.89727,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,24726,0.48521,0.60617,1.02183,0.94223,0.912,0.95499,0.90382,0.34046,0.35897,0.89847,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,25003.5,0.48428,0.60453,1.02431,0.95174,0.90883,0.95509,0.90441,0.33953,0.35757,0.89708,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,25279.8,0.4777,0.58251,1.01814,0.9427,0.91416,0.95548,0.90469,0.33711,0.35651,0.89461,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,25555.6,0.47688,0.58326,1.0178,0.95119,0.91023,0.95635,0.90535,0.33677,0.35693,0.89424,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,25832.3,0.47257,0.58146,1.01539,0.94411,0.91561,0.95628,0.90612,0.33608,0.35506,0.89415,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,26109.9,0.47037,0.57683,1.01525,0.94237,0.91889,0.95653,0.90611,0.33467,0.35379,0.89349,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,26387.8,0.4707,0.57005,1.01465,0.94247,0.91937,0.95566,0.90585,0.33403,0.35463,0.8936,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,26661.8,0.46721,0.56239,1.01071,0.94203,0.92039,0.95547,0.90669,0.33321,0.35487,0.89431,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,26936.9,0.45962,0.55084,1.00739,0.93921,0.92035,0.9547,0.90606,0.33271,0.35496,0.89424,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,27209.9,0.46414,0.55669,1.00658,0.94017,0.92132,0.95513,0.90628,0.33155,0.35289,0.8926,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,27485.9,0.45386,0.54004,1.00203,0.939,0.92297,0.95531,0.90613,0.33148,0.35249,0.89291,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,27762.4,0.45393,0.54155,1.00591,0.94503,0.92122,0.95624,0.90757,0.33075,0.35061,0.89234,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,28034.3,0.45099,0.52525,1.00122,0.95071,0.91965,0.95567,0.90797,0.33057,0.34819,0.89205,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,28306.1,0.45255,0.52996,1.00289,0.95008,0.92016,0.95565,0.90923,0.33018,0.34552,0.89129,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,28575.2,0.44539,0.52088,0.99818,0.95174,0.91932,0.95643,0.90974,0.32891,0.34392,0.8897,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,28846.2,0.44765,0.52111,1.00084,0.94926,0.92114,0.95598,0.90972,0.32824,0.34269,0.88881,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,29117.7,0.44644,0.51489,0.99844,0.94959,0.92204,0.95673,0.90954,0.32826,0.34086,0.88866,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,29389.1,0.43983,0.5082,0.9958,0.95328,0.92033,0.95645,0.9101,0.32816,0.34032,0.88831,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,29660.1,0.43849,0.5042,0.98931,0.9523,0.92109,0.95665,0.90992,0.32774,0.33914,0.88769,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,29931.5,0.43718,0.4981,0.98861,0.9569,0.91875,0.95684,0.9103,0.32705,0.3385,0.88683,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,30203.9,0.43208,0.49064,0.98577,0.95725,0.91885,0.95669,0.91045,0.32716,0.33783,0.88673,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,30474.7,0.43306,0.48932,0.98951,0.9573,0.92019,0.95689,0.91051,0.32706,0.33764,0.88639,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,30747.4,0.42965,0.47772,0.98535,0.95701,0.92114,0.95714,0.91107,0.32673,0.33689,0.88625,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,31018.1,0.42727,0.48059,0.98323,0.95852,0.9207,0.95723,0.91087,0.32654,0.33729,0.88586,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,31290.1,0.42657,0.47764,0.98455,0.95635,0.92145,0.95734,0.91151,0.32592,0.33695,0.88533,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,31560.4,0.42606,0.47428,0.98803,0.9597,0.9203,0.9574,0.91157,0.32541,0.33737,0.88464,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,31833.2,0.42091,0.46153,0.97693,0.95926,0.91885,0.95717,0.9115,0.32524,0.33751,0.88419,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,32103.6,0.42003,0.45599,0.98058,0.95862,0.91925,0.95711,0.91161,0.32529,0.33734,0.88402,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,32373.4,0.41718,0.45289,0.97303,0.95788,0.91891,0.95723,0.91116,0.32517,0.33688,0.88369,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,32643.9,0.41444,0.45135,0.97663,0.95422,0.92177,0.95723,0.91148,0.32479,0.33623,0.88327,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,32916,0.41243,0.44858,0.97408,0.95186,0.92428,0.95725,0.91207,0.32441,0.33573,0.88301,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,33188.2,0.41058,0.44292,0.97323,0.95075,0.92562,0.95712,0.91235,0.32421,0.33583,0.88292,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,33460.6,0.4019,0.42942,0.97005,0.95144,0.92578,0.95724,0.91231,0.32388,0.33614,0.88257,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,33732.8,0.40438,0.42717,0.97026,0.95176,0.92559,0.95733,0.9123,0.32358,0.33569,0.8825,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,34004.1,0.40472,0.4323,0.96974,0.95348,0.92458,0.95728,0.9125,0.32354,0.3349,0.88265,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
